Action(SiteID=US|Country=US|Currency=USD|Version=585|CC=ISO-8859-1),OrderID,ItemID,TransactionID,ShippingStatus,ShippingCarrierUsed,ShipmentTrackingNumber
Status,,400148911051,536517096027,1,,
Status,,131623910837,1210484904003,1,,
Status,,310930268072,667629329021,1,,
Status,,310796833998,667631093021,0,,
Status,,131376433061,1210490627003,1,,
Status,,381266019833,698508671025,1,,
Status,,311500664093,667634005021,1,,
Status,,310932459836,667638241021,1,,
Status,,381205113156,698515820025,1,,
Status,,131671221093,1210504821003,1,,
Status,,311534531803,667642161021,1,,
Status,,381345956961,698519037025,1,,
Status,,380894541067,698523946025,1,,
Status,,310376892541,667648134021,1,,
Status,,400148912900,536539014027,1,,
Status,,310221607174,667651860021,1,,
Status,,311469418050,667654855021,0,,
Status,,381565167329,698550176025,1,,
Status,,131405453068,1210559388003,0,,
Status,,381012249902,698565323025,1,,
Status,,380670081799,698572945025,1,,
Status,,310233073499,667696682021,1,,
Status,,310239935971,667727530021,1,,
Status,,381160751333,698611443025,1,,
Status,,120594451514,1616045583002,1,,
Status,,131687730996,1210646049003,1,,
Status,,140446749403,1252212133004,1,,
Status,,311488815246,667742914021,0,,
Status,,310901607525,667743649021,1,,
Status,,131427133121,1210652941003,1,,
Status,,131532096883,1210656568003,0,,
Status,,381443980458,698631195025,1,,
Status,,131731043681,1210661729003,1,,
Status,,381331592811,698652290025,1,,
Status,,140413902901,1252269089004,1,,
Status,,131121565312,1210701402003,1,,
Status,,311419502639,667783904021,1,,
Status,,131516653971,1210706802003,1,,
Status,,311511325016,667786626021,1,,
Status,,310796833998,667786773021,0,,
Status,,310221296968,667789431021,1,,
Status,,131381628162,1210716671003,1,,
Status,,131747505503,1210717351003,1,,
Status,,130937372260,1210719864003,1,,
Status,,310958945676,667797317021,1,,
Status,,120579096592,1616153055002,1,,
Status,,140446144818,1252320456004,1,,
Status,,131633535852,1210750990003,1,,
Status,,381560575493,698705697025,1,,
Status,,311007889543,667824070021,1,,
Status,,310759637023,667829237021,1,,
Status,,131380801704,1210768945003,1,,
Status,,381463720808,698720855025,1,,
Status,,400176933262,536712047027,0,,
Status,,130740689143,1210777767003,1,,
Status,,131753403387,1210776126003,1,,
Status,,131630118142,1210783206003,1,,
Status,,310930268193,667843950021,1,,
Status,,131633529625,1210785268003,1,,
Status,,311488750943,667861548021,1,,
Status,,311182768854,667869504021,1,,
Status,,131292220985,1210820261003,1,,
Status,,310796833998,667874954021,0,,
Status,,120310419908,1616296059002,0,,
Status,,310975064108,667889500021,1,,
Status,,311156047316,667893699021,1,,
Status,,131671195975,1210854407003,0,,
Status,,381458629346,698786721025,1,,
Status,,380815329246,698786896025,1,,
Status,,310418742521,667899254021,1,,
Status,,310726689486,667900521021,1,,
Status,,140450421644,1252446442004,1,,
Status,,131766834706,1210869375003,1,,
Status,,311459766914,667909493021,0,,
Status,,131628250517,1210872534003,1,,
Status,,381444740288,698799396025,1,,
Status,,311550269868,667915429021,1,,
Status,,310333597449,667916044021,1,,
Status,,131256603388,1210885200003,1,,
Status,,310221297820,667921915021,1,,
Status,,140473975140,1252469556004,1,,
Status,,381471381287,698812354025,0,,
Status,,311488815840,667923600021,0,,
Status,,131578958349,1210896220003,1,,
Status,,380918580882,698817290025,1,,
Status,,311155956717,667935502021,1,,
Status,,381266020699,698826454025,1,,
Status,,381094218104,698827046025,1,,
Status,,381566158987,698831889025,1,,
Status,,131678093576,1210920020003,1,,
Status,,131103819734,1210920835003,0,,
Status,,311325540805,667944779021,1,,
Status,,120587011825,1616392448002,1,,
Status,,311106902944,667951245021,1,,
Status,,131256598666,1210931741003,1,,
Status,,311031556298,667954280021,1,,
Status,,140270671174,1252516574004,1,,
Status,,381486628685,698846288025,1,,
Status,,400173201512,536817739027,1,,
Status,,311436841141,667956193021,1,,
Status,,131298698363,1210936443003,1,,
Status,208044842010,208044842010,,0,,
Status,,140476836407,1252520113004,1,,
Status,,311478272210,667969186021,0,,
Status,,381579243553,698861254025,1,,
Status,,131140722516,1210955140003,1,,
Status,,381443980586,698863338025,0,,
Status,,400148452995,536831486027,1,,
Status,,381443980586,698864285025,0,,
Status,,380884948030,698865872025,1,,
Status,,131748715445,1210960429003,1,,
Status,,310918384877,667975447021,1,,
Status,,131091004711,1210967883003,1,,
Status,,140473926901,1252555597004,1,,
Status,,131262474582,1210980907003,0,,
Status,,131262474582,1210981099003,0,,
Status,,131700241689,1210987364003,1,,
Status,,381486651580,698899013025,1,,
Status,,381518256708,698902084025,1,,
Status,,131633534643,1211014352003,1,,
Status,,381004820478,698906032025,1,,
Status,,380946924182,698908530025,1,,
Status,,311501187366,668024804021,1,,
Status,,311492161230,668028181021,1,,
Status,,310933932128,668034323021,0,,
Status,208069079010,208069079010,,0,,
Status,,381299661599,698926683025,1,,
Status,,311466215884,668044073021,1,,
Status,,381205112828,698935233025,1,,
Status,,311468959540,668045116021,1,,
Status,,381505280916,698937262025,1,,
Status,,131593512682,1211062667003,1,,
